"description"	"X100"	"X200"	"X300"	"X400"	"X500"	"X600"	"X700"	"X800"	"X900"	"X1000"	"X1100"	"X1200"	"X1300"	"X1400"	"X1500"	"X1600"	"X1700"	"X1800"	"X1900"	"X2000"
"134"	"Signaling by NOTCH2"	1	1	1	1	1	1	1	0.184253973132499	1	1	1	1	1	1	1	1	1	1	0.0900856423966969	1
"135"	"Signaling by TGF-beta Receptor Complex"	1	1	1	1	1	1	0.164270296243349	1	0.111956606396041	0.0901736050940412	0.157682200205892	0.208328579652298	1	1	1	1	1	1	0.0900856423966969	1
"136"	"SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription"	0.109759164470696	0.164111754381399	1	0.171865392261793	1	1	0.157243198267882	0.194438433757532	0.0401739284481537	0.0237875637665818	0.048221216697327	0.0530644943758408	0.0771349068943471	0.0968998016981873	0.124071733312615	0.167970865264635	0.197699085780572	1	0.0244892126985365	0.0771349068943471
"137"	"Spry regulation of FGF signaling"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0802963704301342	1
"138"	"Syndecan interactions"	0.0210647802363385	0.000148714833732741	0.00143286052624999	0.0000670593456565535	0.0000416364783511283	0.000000376909679146727	0.00000199584699815709	0.00000622016492843807	0.0000221287429815268	0.0000521205577200684	0.000188595018745573	0.000273634345988089	0.000684916928840013	0.000264753947662526	0.000677351230508799	0.0000767751566573549	0.0000510030993999529	0.0000377681362563032	0.0000778283616153499	0.000684916928840013
"139"	"Synthesis of active ubiquitin: roles of E1 and E2 enzymes"	1	1	1	0.13013210353521	0.167411988966697	1	0.135905709921752	0.176324159501727	1	1	0.0707333793813855	0.080671837236365	0.117052833193981	0.137731479934392	0.160769099621465	0.207532978220416	1	1	0.0688378838949038	0.117052833193981
"140"	"Synthesis of PC"	1	1	1	1	1	0.214239652394499	1	0.176324159501727	0.180971998517965	1	0.146873319667819	0.167237577189237	0.211984556938162	1	1	1	1	1	1	0.211984556938162
"141"	"Synthesis of substrates in N-glycan biosythesis"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.178209258790731	1	1	1	1	1
"142"	"Synthesis of very long-chain fatty acyl-CoAs"	1	1	1	1	1	1	1	1	1	1	1	1	0.211984556938162	0.111778965240035	0.131687999593234	0.185070717476023	0.0865107805325526	0.113673210351792	0.0976666836847803	0.211984556938162
"143"	"TGF-beta receptor signaling activates SMADs"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.178083252796435	1
"144"	"TP53 Regulates Transcription of Cell Cycle Genes"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.19835289547129	1
"145"	"Trafficking of AMPA receptors"	1	1	1	1	1	1	0.137858914285114	0.176324159501727	0.0971008737321642	0.132417087458923	0.0727089820683874	0.00963241945977806	0.0161971505383502	0.0268919656569007	0.0312480375228539	0.0440451112327159	0.0596172663313432	0.0781592621543591	0.033245459877636	0.0161971505383502
"146"	"Trafficking of GluR2-containing AMPA receptors"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.172981397462254	1
"147"	"Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer"	0.152798211253374	1	1	1	1	1	0.146707961726835	0.193622987795659	0.0542386502690563	0.0336837603488688	0.0678520696631213	0.080671837236365	0.118126689386977	0.146008891709201	0.176339820558755	1	0.173387019215145	1	0.0294643091964552	0.118126689386977
"148"	"Transport of connexons to the plasma membrane"	1	1	1	1	1	1	1	1	0.200833730847886	1	1	1	1	1	1	1	1	1	1	1
"149"	"Triglyceride Biosynthesis"	1	1	1	1	1	1	0.205154317344439	0.176324159501727	1	1	1	1	0.211984556938162	0.150595571628975	0.128998438362899	0.188935415170199	0.151712309883367	1	0.166833750292886	0.211984556938162
"150"	"Unblocking of NMDA receptor, glutamate binding and activation"	1	1	1	1	1	1	1	1	1	1	1	0.0275509212093143	0.0393411699739045	0.0552630585936863	0.0641323062577307	0.0734418785304683	0.0865107805325526	0.113126043193745	0.091781570994937	0.0393411699739045
"151"	"Uptake and actions of bacterial toxins"	1	1	1	1	1	1	1	1	1	0.132417087458923	0.200915309612698	0.0352958202011487	0.0535184162544679	0.071909731418954	0.0312480375228539	0.0227751289941391	0.0352163519871733	0.0507043125261441	0.0182248860303274	0.0535184162544679
"152"	"Vasopressin regulates renal water homeostasis via Aquaporins"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.211553705630583	1
"153"	"Voltage gated Potassium channels"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.207532978220416	1	1	0.225219227677053	1
"154"	"VxPx cargo-targeting to cilium"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.178240866452036	1
